layer,field,alias,type,length,nullable,domain,codedValues
Sites,ObjectID,ObjectID,OID,,,,
Sites,SITE_ID,Site ID,String,255,,,
Sites,NAME,Name,String,100,,,
Sites,NAME_LONG,Long Name,String,255,,,
Sites,SHAPE,Shape,Geometry,,,,
Sites,SHAPE_Length,SHAPE_Length,Double,,,,
Sites,SHAPE_Area,SHAPE_Area,Double,,,,
Sites,CREATED_USER,Created User,String,255,,,
Sites,CREATED_DATE,Created Date,Date,8,,,
Sites,LAST_EDITED_USER,Last Edited User,String,255,,,
Sites,LAST_EDITED_DATE,Last Edited Date,Date,8,,,
Sites,GlobalID,GlobalID,GlobalID,38,,,
Sites,VALIDATIONSTATUS,Validation status,SmallInteger,,,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Facilities,objectid,ObjectID,OID,4,False,,
Facilities,facility_id,Facility ID,String,255,False,,
Facilities,name,Name,String,100,False,,
Facilities,name_long,Long Name,String,255,True,,
Facilities,site_id,Site ID,String,255,True,,
Facilities,height_relative,Relative Height,Double,,True,,
Facilities,levels_above_ground,Levels Above Ground,Integer,,True,,
Facilities,created_user,Created User,String,255,True,,
Facilities,created_date,Created Date,Date,29,True,,
Facilities,last_edited_user,Last Edited User,String,255,True,,
Facilities,last_edited_date,Last Edited Date,Date,29,True,,
Facilities,globalid,GlobalID,GlobalID,38,False,,
Facilities,validationstatus,Validation status,SmallInteger,,True,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Facilities,archibus_id,Archibus_ID,String,16,True,,
Facilities,campus,Campus,String,50,True,,
Facilities,address,Address,String,150,True,,
Facilities,image_url,image_url,String,5000,True,,
Facilities,primary_use,primary_use,String,40,True,dFacilitiesPrimaryUse,Administration=Administration; Dormitory=Dormitory; Instruction=Instruction; Library=Library; Mixed Use=Mixed Use; Multifamily=Multifamily; Office=Office; Parking Garage=Parking Garage; Power Plant=Power Plant; Recreation=Recreation; Research=Research; Residence Hall=Residence Hall
Facilities,below_grade,Below Grade,String,5,True,dBoolean,Y=Yes; N=No
Facilities,name_alias,Alias,String,255,True,,
Facilities,SHAPE__Length,SHAPE__Length,Double,,True,,
Facilities,SHAPE__Area,SHAPE__Area,Double,,True,,
Exterior Spaces,objectid,ObjectID,OID,4,False,,
Exterior Spaces,facility_id,Facility ID,String,255,False,,
Exterior Spaces,name,Name,String,100,False,,
Exterior Spaces,name_long,Long Name,String,255,True,,
Exterior Spaces,site_id,Site ID,String,255,True,,
Exterior Spaces,height_relative,Relative Height,Double,,True,,
Exterior Spaces,levels_above_ground,Levels Above Ground,Integer,,True,,
Exterior Spaces,created_user,Created User,String,255,True,,
Exterior Spaces,created_date,Created Date,Date,29,True,,
Exterior Spaces,last_edited_user,Last Edited User,String,255,True,,
Exterior Spaces,last_edited_date,Last Edited Date,Date,29,True,,
Exterior Spaces,globalid,GlobalID,GlobalID,38,False,,
Exterior Spaces,validationstatus,Validation status,SmallInteger,,True,Validation Status,"0=No calculation required, no validation required, no error; 1=No calculation required, no validation required, has error(s); 2=No calculation required, validation required, no error; 3=No calculation required, validation required, has error(s); 4=Calculation required, no validation required, no error; 5=Calculation required, no validation required, has error(s); 6=Calculation required, validation required, no error; 7=Calculation required, validation required, has error(s)"
Exterior Spaces,archibus_id,Archibus_ID,String,16,True,,
Exterior Spaces,campus,Campus,String,50,True,,
Exterior Spaces,address,Address,String,150,True,,
Exterior Spaces,image_url,image_url,String,5000,True,,
Exterior Spaces,primary_use,primary_use,String,40,True,,
Exterior Spaces,below_grade,Below Grade,String,5,True,dBoolean,Y=Yes; N=No
Exterior Spaces,level_id,Level ID,String,255,True,,
Exterior Spaces,SHAPE__Length,SHAPE__Length,Double,,True,,
