run,frame_index,kept,drop_reason,stamp_ns,t_rel_s,image,cloud,x,y,z,yaw_deg,speed_mps,omega_radps,motion_score,stationary,cmd_vx,cmd_vy,cmd_wz,suppressed_by
20260920_033440,1,False,within_min_dist,1789846481032463616,0.0,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000001.jpg,,14.4624,4.648,0.3058,-55.9,0.0,0.0289,0.02892,True,,,,38
20260920_033440,2,False,within_min_dist,1789846481061376256,0.029,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000002.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,3,False,within_min_dist,1789846481090114048,0.058,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000003.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,4,False,within_min_dist,1789846481118677504,0.086,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000004.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,5,False,within_min_dist,1789846481147066368,0.115,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000005.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,6,False,within_min_dist,1789846481175280640,0.143,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000006.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,7,False,within_min_dist,1789846481183655936,0.151,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000007.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0119,0.01191,True,,,,38
20260920_033440,8,False,within_min_dist,1789846481316978176,0.285,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000008.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0175,0.0175,True,,,,38
20260920_033440,9,False,within_min_dist,1789846481450253056,0.418,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000009.jpg,,14.4624,4.6481,0.3058,-55.89,0.0,0.0502,0.05018,False,,,,38
20260920_033440,10,False,within_min_dist,1789846481550178560,0.518,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000010.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0301,0.03013,True,,,,38
20260920_033440,11,False,within_min_dist,1789846481749949184,0.717,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000011.jpg,,14.4623,4.6481,0.3058,-55.9,0.0,0.0272,0.02718,True,,,,38
20260920_033440,12,False,within_min_dist,1789846481783234048,0.751,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000012.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0272,0.02718,True,,,,38
20260920_033440,13,False,within_min_dist,1789846481982880768,0.95,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000013.jpg,,14.4624,4.6481,0.3058,-55.89,0.0,0.0281,0.0281,True,,,,38
20260920_033440,14,False,within_min_dist,1789846482115919616,1.083,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000014.jpg,,14.4625,4.6481,0.3058,-55.89,0.0,0.0253,0.02534,True,,,,38
20260920_033440,15,False,within_min_dist,1789846482216459008,1.184,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000015.jpg,,14.4625,4.6482,0.3058,-55.88,0.0,0.028,0.02798,True,,,,38
20260920_033440,16,False,within_min_dist,1789846482282351104,1.25,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000016.jpg,,14.4625,4.6482,0.3058,-55.88,0.0,0.028,0.02798,True,,,,38
20260920_033440,17,False,within_min_dist,1789846482512463616,1.48,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000017.jpg,,14.4625,4.6482,0.3058,-55.88,0.0,0.0324,0.03242,True,,,,38
20260920_033440,18,False,within_min_dist,1789846482872466688,1.84,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000018.jpg,,14.4625,4.6481,0.3058,-55.9,0.0,0.0338,0.03379,True,,,,38
20260920_033440,19,False,within_min_dist,1789846482970309632,1.938,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000019.jpg,,14.4625,4.6481,0.3058,-55.9,0.0,0.0338,0.03379,True,,,,38
20260920_033440,20,False,within_min_dist,1789846483165558272,2.133,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000020.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0171,0.01708,True,,,,38
20260920_033440,21,False,within_min_dist,1789846483295832064,2.263,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000021.jpg,,14.4625,4.6481,0.3058,-55.9,0.0,0.0087,0.00865,True,,,,38
20260920_033440,22,False,within_min_dist,1789846483496201472,2.464,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000022.jpg,,14.4626,4.6482,0.3058,-55.88,0.0,0.0327,0.03268,True,,,,38
20260920_033440,23,False,within_min_dist,1789846483629862656,2.597,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000023.jpg,,14.4625,4.6481,0.3058,-55.9,0.0,0.0303,0.0303,True,,,,38
20260920_033440,24,False,within_min_dist,1789846483830476032,2.798,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000024.jpg,,14.4625,4.6481,0.3058,-55.9,0.0,0.0225,0.02247,True,,,,38
20260920_033440,25,False,within_min_dist,1789846483964299520,2.932,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000025.jpg,,14.4625,4.6481,0.3058,-55.88,0.0,0.0214,0.02136,True,,,,38
20260920_033440,26,False,within_min_dist,1789846484064710144,3.032,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000026.jpg,,14.4624,4.6481,0.3058,-55.91,0.0,0.0259,0.02588,True,,,,38
20260920_033440,27,False,within_min_dist,1789846484198647808,3.166,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000027.jpg,,14.4624,4.6481,0.3058,-55.89,0.0,0.0156,0.01558,True,,,,38
20260920_033440,28,False,within_min_dist,1789846484265554176,3.233,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000028.jpg,,14.4624,4.6481,0.3058,-55.89,0.0,0.0156,0.01558,True,,,,38
20260920_033440,29,False,within_min_dist,1789846484433462016,3.401,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000029.jpg,,14.4625,4.6481,0.3058,-55.88,0.0,0.0238,0.02384,True,,,,38
20260920_033440,30,False,within_min_dist,1789846484567922944,3.535,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000030.jpg,,14.4624,4.6481,0.3058,-55.88,0.0,0.0197,0.01967,True,,,,38
20260920_033440,31,False,within_min_dist,1789846484702503936,3.67,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000031.jpg,,14.4624,4.6481,0.3058,-55.9,0.0,0.0196,0.01956,True,,,,38
20260920_033440,32,False,within_min_dist,1789846484837204480,3.805,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000032.jpg,,14.4625,4.6481,0.3058,-55.88,0.0,0.034,0.03397,True,,,,38
20260920_033440,33,False,within_min_dist,1789846484938308864,3.906,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000033.jpg,,14.4625,4.6481,0.3058,-55.88,0.0,0.034,0.03397,True,,,,38
20260920_033440,34,False,within_min_dist,1789846485039480576,4.007,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000034.jpg,,14.4625,4.648,0.3058,-55.89,0.0,0.018,0.01802,True,,,,38
20260920_033440,35,False,within_min_dist,1789846485140719360,4.108,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000035.jpg,,14.4625,4.648,0.3058,-55.9,0.0,0.0175,0.01747,True,,,,38
20260920_033440,36,False,within_min_dist,1789846485242026240,4.21,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000036.jpg,,14.4625,4.648,0.3058,-55.88,0.0,0.0282,0.02816,True,,,,38
20260920_033440,37,False,within_min_dist,1789846485409992192,4.378,/home/yuanhong/Desktop/unmapped_data/20260920_033440/color/color_000037.jpg,,14.4625,4.648,0.3058,-55.89,0.0,0.0211,0.02112,True,,,,38
